Time      H_CHP_MG2      H_GB1_MG2      H_GB2_MG2      
0         0.00           400.00         400.00         
1         0.00           400.00         400.00         
2         0.00           326.94         400.00         
3         0.00           400.00         400.00         
4         0.00           400.00         400.00         
5         0.00           400.00         273.75         
6         193.33         400.00         400.00         
7         400.00         400.00         400.00         
8         400.00         400.00         400.00         
9         400.00         400.00         400.00         
10        347.48         400.00         400.00         
11        292.15         400.00         400.00         
12        0.00           400.00         400.00         
13        0.00           400.00         400.00         
14        341.80         400.00         400.00         
15        400.00         400.00         400.00         
16        389.77         400.00         400.00         
17        389.02         400.00         400.00         
18        330.27         400.00         400.00         
19        350.04         400.00         400.00         
20        16.67          400.00         400.00         
21        0.00           400.00         400.00         
22        282.27         400.00         400.00         
23        0.00           400.00         400.00         
