Time      H_CHP_MG3      H_GB1_MG3      H_GB2_MG3      
0         250.00         0.00           364.93         
1         0.00           400.00         400.00         
2         259.75         0.00           367.45         
3         0.00           354.40         0.00           
4         0.00           302.00         0.00           
5         0.00           400.00         117.63         
6         0.00           400.00         188.40         
7         0.00           400.00         400.00         
8         0.00           400.00         400.00         
9         0.00           400.00         400.00         
10        54.40          400.00         400.00         
11        0.00           400.00         400.00         
12        0.00           400.00         400.00         
13        0.00           400.00         400.00         
14        100.00         400.00         400.00         
15        0.00           400.00         400.00         
16        100.00         400.00         400.00         
17        100.00         400.00         400.00         
18        130.00         400.00         400.00         
19        200.00         400.00         400.00         
20        200.00         400.00         400.00         
21        0.00           400.00         400.00         
22        0.00           400.00         400.00         
23        0.00           400.00         400.00         
