Time      O_EC               O_AC
0         0.00           0.00           
1         0.00           0.00           
2         0.00           0.00           
3         0.00           0.00           
4         0.00           0.00           
5         0.00           0.00           
6         0.00           0.00           
7         0.00           100.00         
8         130.12         169.88         
9         43.56          156.44         
10        117.21         182.79         
11        279.23         70.77          
12        400.00         0.00           
13        361.88         88.12          
14        120.69         279.31         
15        100.33         199.67         
16        62.25          137.75         
17        332.35         117.65         
18        250.00         0.00           
19        250.00         0.00           
20        270.00         0.00           
21        200.00         0.00           
22        200.00         0.00           
23        174.78         5.22           
