Time      O_EC               O_AC
0         0.00           64.00          
1         0.00           32.00          
2         0.00           32.00          
3         0.00           64.00          
4         0.00           120.00         
5         59.26          20.74          
6         0.00           104.00         
7         60.71          235.29         
8         82.35          117.65         
9         280.00         0.00           
10        400.00         64.00          
11        360.00         0.00           
12        400.00         40.00          
13        360.00         0.00           
14        320.00         0.00           
15        200.00         0.00           
16        184.00         0.00           
17        184.00         0.00           
18        184.00         0.00           
19        200.00         0.00           
20        168.00         0.00           
21        160.00         0.00           
22        152.00         0.00           
23        144.00         0.00           
